Date,Close,High,Low,Open,Volume
2020-09-28,2091.45654296875,2106.7137980252814,2039.4782512797938,2103.2658212691026,4347166
2020-09-29,2144.987060546875,2164.5113625220984,2091.4573275938187,2098.827422764655,6995811
2020-09-30,2148.348876953125,2159.2961647206175,2120.5064132585703,2145.5042530896676,3917166
2020-10-01,2175.199462890625,2189.4655105707197,2148.3484247649217,2163.6056817057115,2610337
2020-10-05,2332.384765625,2351.6072851093713,2243.8148305435952,2258.425595263069,17412105
2020-10-06,2339.71142578125,2358.4166620419396,2284.3714277746603,2358.4166620419396,9846367
2020-10-07,2358.373046875,2387.7239921898554,2329.970379382375,2363.588154001655,9656101
2020-10-08,2435.738037109375,2486.8543576773836,2413.5848185430414,2413.5848185430414,19839329
2020-10-09,2424.74755859375,2439.3153929452974,2396.344879894649,2422.2047167280443,7739245
2020-10-12,2439.4443359375,2460.1322030973943,2414.230997836379,2426.9454161950644,4623203
2020-10-13,2436.470703125,2460.908122005074,2424.1009973273153,2452.3744602592483,4209878
2020-10-14,2432.18505859375,2460.2326652428605,2413.0970042668137,2460.2326652428605,4395936
2020-10-15,2372.454345703125,2447.8973717468925,2360.681153833888,2433.397404997088,6629355
2020-10-16,2392.104736328125,2399.3329503437703,2364.403310420735,2380.677940410348,5273773
2020-10-19,2347.306884765625,2401.3679191184196,2343.0218617139512,2401.3679191184196,3331194
2020-10-20,2371.069091796875,2389.161502336794,2352.846704006739,2358.949717103499,3406273
2020-10-21,2316.01220703125,2379.725569830299,2305.321314999678,2371.0688744144013,4570143
2020-10-22,2312.33349609375,2325.7513762202097,2283.723282061506,2303.5470333231883,5262294
2020-10-23,2325.880615234375,2339.038748009679,2311.4239783428557,2326.7462846451854,3499091
2020-10-26,2327.09326171875,2345.9215778268276,2311.770950189481,2328.6081837044576,2672752
2020-10-27,2276.8408203125,2353.0197453269852,2271.6036882938483,2337.0915091801853,3537502
2020-10-28,2269.958740234375,2299.175088685862,2255.934935246684,2294.0243969315857,3569445
2020-10-29,2279.0048828125,2298.352682018381,2250.957273603878,2257.6662126945153,3105968
2020-10-30,2306.880126953125,2315.103989610664,2269.4399101174863,2281.9921215421514,3427003
2020-11-02,2254.722900390625,2306.8794886019123,2250.7840618334503,2302.680906921554,2571196
2020-11-03,2279.827880859375,2307.009825788391,2251.6502889357816,2254.203972365092,2879269
2020-11-04,2296.751220703125,2356.222891454612,2259.397661903571,2259.397661903571,4893928
2020-11-05,2324.9287109375,2345.964523658515,2308.740732323712,2324.322784510374,2816502
2020-11-06,2343.75732421875,2348.7782506132935,2321.12014670814,2336.442457718706,3884421
2020-11-09,2360.334716796875,2375.3972826664103,2333.066125541776,2364.2302298333175,3646592
2020-11-10,2293.677978515625,2348.691105847415,2283.9391966967664,2334.8837196710297,4760020
2020-11-11,2326.746826171875,2331.075174233306,2288.3109685792956,2309.563199829946,3242441
2020-11-12,2312.24658203125,2348.5613756294088,2304.195813336373,2325.188298909175,2437505
2020-11-13,2299.95458984375,2306.923061740111,2281.905292352151,2299.0022686510715,2548093
2020-11-14,2311.64111328125,2327.7857682665012,2302.724673313024,2318.220076038625,298819
2020-11-17,2307.91845703125,2332.9795494398836,2294.067743565188,2332.9795494398836,2827273
2020-11-18,2273.810546875,2306.3164765707984,2256.843552681649,2303.5463766356675,2893762
2020-11-19,2282.68408203125,2316.6616138063814,2277.4469500311766,2282.7707335292334,4167501
2020-11-20,2302.89794921875,2316.5322477621935,2274.5905907023457,2298.3531830376023,2711471
2020-11-23,2358.301025390625,2363.278626894157,2307.0100881585818,2328.6518338261103,3706418
2020-11-24,2356.39599609375,2374.5317320920717,2341.63628702481,2367.086888933539,3120516
2020-11-25,2338.432861328125,2365.831214106654,2327.092507316259,2362.4118621450084,3302249
2020-11-26,2355.140869140625,2364.100422963058,2319.9945977853795,2325.188615541615,2341099
2020-11-27,2319.691650390625,2352.6304236558776,2310.5156786810176,2341.6364610983064,6086808
2020-12-01,2360.5078125,2368.385278735733,2271.9064479696062,2319.12876501716,3605017
2020-12-02,2380.201171875,2384.6592844301285,2339.428061494771,2353.754931315555,2509032
2020-12-03,2345.48828125,2401.280640557241,2338.0003243041824,2401.280640557241,2852548
2020-12-04,2361.156982421875,2370.9390904362444,2336.4420749289857,2346.6570177108483,2686527
2020-12-07,2369.944091796875,2375.3978536278073,2342.632168229754,2350.29343024763,1996400
2020-12-08,2421.5380859375,2428.679861528343,2365.3993169065684,2371.935165928432,4277818
2020-12-09,2433.224365234375,2458.501877480286,2417.9451686605585,2436.860135601058,3659996
2020-12-10,2410.2841796875,2447.5079766594476,2406.7781751455327,2439.4572062081147,2127801
2020-12-11,2409.677978515625,2430.540489028881,2393.186930397962,2417.555445053574,1795408
2020-12-14,2421.884033203125,2427.3377944825806,2386.0020670622725,2425.606455114191,2483658
2020-12-15,2390.590087890625,2419.2869525341393,2384.919909357971,2411.755668773614,2365509
2020-12-16,2436.167724609375,2441.0155596607315,2389.6379763790737,2405.696192223398,2565149
2020-12-17,2456.943603515625,2470.361483337224,2428.2034128764526,2433.3974308719103,2863460
2020-12-18,2476.680908203125,2508.710685764647,2463.8689549094893,2482.7405958498994,6076692
2020-12-21,2441.318603515625,2498.755879320951,2410.8903945639527,2476.6812994066313,2705195
2020-12-22,2486.635986328125,2496.288118064248,2440.0195926991205,2453.30770591955,2881737
2020-12-23,2518.01611328125,2526.8892254982275,2480.5325823297817,2489.7087634043987,2790988
2020-12-24,2518.5361328125,2528.9241688271745,2495.898744190108,2518.233063890685,1807144
2020-12-28,2535.89208984375,2553.465222554479,2512.1728306328737,2519.098186471972,2108994
2020-12-29,2536.844970703125,2555.4568686284338,2527.7554391582066,2527.7554391582066,1994151
2020-12-30,2518.492919921875,2551.734552120445,2512.1734887940606,2540.2211027525323,2637968
2020-12-31,2478.19580078125,2514.770343644933,2462.830164430235,2510.441995377041,4040956
2021-01-01,2534.896728515625,2545.0683452013786,2492.262505385976,2493.1281748911465,2681440
2021-01-04,2631.1591796875,2640.941287530261,2545.890731987187,2553.7250834103975,5113293
2021-01-05,2677.516357421875,2695.9118383773275,2631.2896804059933,2631.2896804059933,5801309
2021-01-06,2641.59033203125,2695.2618380400777,2629.2112166021334,2683.5753004413814,3726716
2021-01-07,2625.402587890625,2666.9980509975235,2597.2250024733644,2661.9337997185553,3717827
